n_nationkey,n_name,n_regionkey,n_comment
0,ALGERIA,0,furiously regular requests. platelets affix furious
1,ARGENTINA,1,"instructions wake quickly. final deposits haggle. final, silent theodolites "
2,BRAZIL,1,asymptotes use fluffily quickly bold instructions. slyly bold dependencies sleep carefully pending accounts
3,CANADA,1,ss deposits wake across the pending foxes. packages after the carefully bold requests integrate caref
4,EGYPT,4,"usly ironic, pending foxes. even, special instructions nag. sly, final foxes detect slyly fluffily "
5,ETHIOPIA,0,regular requests sleep carefull
6,FRANCE,3,oggedly. regular packages solve across
7,GERMANY,3,ong the regular requests: blithely silent pinto beans hagg
8,INDIA,2,uriously unusual deposits about the slyly final pinto beans could
9,INDONESIA,2,"d deposits sleep quickly according to the dogged, regular dolphins. special excuses haggle furiously special reque"
10,IRAN,4,furiously idle platelets nag. express asymptotes s
11,IRAQ,4,pendencies; slyly express foxes integrate carefully across the reg
12,JAPAN,2, quickly final packages. furiously i
13,JORDAN,4,the slyly regular ideas. silent Tiresias affix slyly fu
14,KENYA,0,lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee
15,MOROCCO,0,ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo
16,MOZAMBIQUE,0, beans after the carefully regular accounts r
17,PERU,1,ly final foxes. blithely ironic accounts haggle. regular foxes about the regular deposits are furiously ir
18,CHINA,2,"ckly special packages cajole slyly. unusual, unusual theodolites mold furiously. slyly sile"
19,ROMANIA,3,"sly blithe requests. thinly bold deposits above the blithely regular accounts nag special, final requests. care"
20,SAUDI ARABIA,4,se slyly across the blithely regular deposits. deposits use carefully regular 
21,VIETNAM,2,lly across the quickly even pinto beans. caref
22,RUSSIA,3,uctions. furiously unusual instructions sleep furiously ironic packages. slyly 
23,UNITED KINGDOM,3,"carefully pending courts sleep above the ironic, regular theo"
24,UNITED STATES,1,ly ironic requests along the slyly bold ideas hang after the blithely special notornis; blithely even accounts
